Nome;Indirizzo;Città;Nazione;Prezzo;Fascia Di Prezzo;Tipo di Cucina;Longitude;Latitude;PrenotazioneOnline;Delivery;WebsiteUrl;Award;Servizi
Reale;contrada Santa Liberata, località Casadonna, Castel di Sangro, 67031, Italy;Castel di Sangro; Italy;€€€€;100;Modern Cuisine, Creative;14.094554;41.7800349;SI;SI;http://www.nikoromito.com/reale;3 Stars;Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Restaurant offering vegetarian menus
Da Vittorio;via Cantalupa 17, Brusaporto, 24060, Italy;Brusaporto; Italy;€€€€;100;Italian Contemporary;9.7692511;45.6756778;SI;NO;http://www.davittorio.com;3 Stars;Air conditioning,Car park,Garden or park,Interesting wine list,Terrace,Wheelchair access
Osteria Francescana;via Stella 22, Modena, 41121, Italy;Modena; Italy;€€€€;100;Creative;10.9215518;44.6448099;NO;SI;http://osteriafrancescana.it;3 Stars;Air conditioning,Interesting wine list,Wheelchair access
Dal Pescatore;località Runate 15, Runate, 46013, Italy;Runate; Italy;€€€€;100;Italian Contemporary;10.3565788;45.1712728;SI;NO;http://www.dalpescatore.com;3 Stars;Air conditioning,Car park,Garden or park,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Wheelchair access
Piazza Duomo;vicolo dell'Arco 1, angolo piazza Risorgimento 4, Alba, 12051, Italy;Alba; Italy;€€€€;100;Creative, Seasonal Cuisine;8.0359341;44.7005555;SI;NO;http://www.piazzaduomoalba.it;3 Stars;Air conditioning,Interesting wine list,Restaurant offering vegetarian menus
Schloss Schauenstein;Schlossgass 77, Fürstenau, 7414, Switzerland;Fürstenau; Switzerland;€€€€;100;Creative, Country cooking;9.4462648;46.7211969;NO;NO;https://schauenstein.ch/;3 Stars;Car park,Garden or park,Interesting wine list
Restaurant de l'Hôtel de Ville;Rue d'Yverdon 1, Crissier, 1023, Switzerland;Crissier; Switzerland;€€€€;100;Classic French, Seasonal Cuisine;6.5767178;46.5539842;SI;SI;https://www.restaurantcrissier.com/;3 Stars;Air conditioning,Car park,Interesting wine list,Wheelchair access
Sven Wassmer Memories;Bernhard-Simon-Strasse 2, Bad Ragaz, 7310, Switzerland;Bad Ragaz; Switzerland;€€€€;100;Creative, Farm to table;9.5037741;47.0002941;NO;SI;https://memories.ch/;3 Stars;Air conditioning,Car park,Counter dining,Garden or park,Interesting wine list,Wheelchair access
Cheval Blanc by Peter Knogl;Blumenrain 8, Basel, 4001, Switzerland;Basel; Switzerland;€€€€;100;Classic French;7.5875706;47.5604261;SI;NO;https://www.chevalblancbasel.com/en;3 Stars;Great view,Interesting wine list,Wheelchair access
Kanda;1F, Toranomon Hills Residential Tower, 1-1-1 Atago, Minato-ku, Tokyo, 105-0002, Japan;Tokyo; Japan;¥¥¥¥;100;Japanese;139.748;35.6658;NO;SI;https://www.nihonryori-kanda.com/;3 Stars;Air conditioning,Counter dining,Interesting wine list
Azabu Kadowaki;2-7-2 Azabujuban, Minato-ku, Tokyo, 106-0045, Japan;Tokyo; Japan;¥¥¥¥;100;Japanese;139.733551;35.655993;SI;NO;;3 Stars;Air conditioning,Counter dining
Kohaku;3-5-5 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan;Tokyo; Japan;¥¥¥¥;100;Japanese;139.740832;35.700825;NO;NO;https://kagurazaka-kohaku.jp/;3 Stars;Air conditioning,Counter dining,Interesting wine list
SÉZANNE;7F, Four Seasons Hotel Tokyo at Marunouchi, 1-11-1 Marunouchi, Chiyoda-ku, Tokyo, 100-6277, Japan;Tokyo; Japan;¥¥¥¥;100;French, Contemporary;139.767155;35.678083;NO;SI;https://www.sezanne.tokyo/;3 Stars;Air conditioning,Car park,Interesting wine list,Wheelchair access
Harutaka;6F, 8-3-1 Ginza, Chuo-ku, Tokyo, 104-0061, Japan;Tokyo; Japan;¥¥¥¥;100;Sushi;139.759203;35.669269;SI;SI;;3 Stars;Air conditioning,Counter dining
L'OSIER;7-5-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan;Tokyo; Japan;¥¥¥¥;100;French, French Contemporary;139.761203;35.669667;SI;SI;https://losier.shiseido.co.jp/;3 Stars;Air conditioning,Car park,Interesting wine list
Kagurazaka Ishikawa;5-37 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan;Tokyo; Japan;¥¥¥¥;100;Japanese;139.739466;35.701212;SI;SI;https://www.kagurazaka-ishikawa.co.jp/;3 Stars;Air conditioning,Counter dining
RyuGin;7F, Tokyo Midtown Hibiya, 1-1-2 Yurakucho, Chiyoda-ku, Tokyo, 100-0006, Japan;Tokyo; Japan;¥¥¥¥;100;Japanese;139.759193;35.673583;SI;NO;https://www.nihonryori-ryugin.com/;3 Stars;Air conditioning,Interesting wine list,Notable sake list
L'Effervescence;2-26-4 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan;Tokyo; Japan;¥¥¥¥;100;French, Contemporary;139.719454;35.660299;NO;SI;https://www.leffervescence.jp/;3 Stars;Air conditioning,Interesting wine list
Joël Robuchon;Yebisu Garden Place, 1-13-1 Mita, Meguro-ku, Tokyo, 153-0062, Japan;Tokyo; Japan;¥¥¥¥;100;French, Contemporary;139.714528;35.641903;NO;NO;https://www.robuchon.jp/;3 Stars;Air conditioning,Interesting wine list,Restaurant offering vegetarian menus
Quintessence;1F, Garden City Shinagawa Gotenyama, 6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo, 141-0001, Japan;Tokyo; Japan;¥¥¥¥;100;French, Contemporary;139.732977;35.624038;NO;NO;https://www.quintessence.jp/;3 Stars;Air conditioning,Interesting wine list,Wheelchair access
Sazenka;4-7-5 Minamiazabu, Minato-ku, Tokyo, 106-0047, Japan;Tokyo; Japan;¥¥¥¥;100;Chinese;139.728395;35.649578;NO;NO;https://sazenka.com/;3 Stars;Air conditioning,Interesting wine list
Xin Rong Ji (Xinyuan South Road);1F, East Tower, Genesis Beijing, 8 Xinyuan South Road, Chaoyang, Beijing, China Mainland;Beijing; China Mainland;¥¥¥¥;100;Taizhou;116.450148;39.94638;NO;SI;http://www.xinrongji.com;3 Stars;Air conditioning,Car park,Counter dining,Interesting wine list
Chao Shang Chao (Chaoyang);L406B, 4F, CP Center, 20 Jinhe East Road, Chaoyang, Beijing, China Mainland;Beijing; China Mainland;¥¥¥¥;100;Chao Zhou;116.461892;39.910992;NO;SI;;3 Stars;Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access
De Librije;Spinhuisplein 1, Zwolle, 8011 ZZ, Netherlands;Zwolle; Netherlands;€€€€;100;Modern Cuisine;6.0980183;52.5153644;NO;SI;https://www.librije.com/;3 Stars;Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Valet parking
Taïrroir;6F, 299 Lequn 3rd Road, Zhongshan District, Taipei, 104, Taiwan;Taipei; Taiwan;$$$$;100;Taiwanese contemporary;121.559303;25.082896;SI;NO;https://www.tairroir.com/;3 Stars;Air conditioning,Wheelchair access
JL Studio;2F, 689, Section 4, Yifeng Road, Nantun District, Taichung, 408, Taiwan;Taichung; Taiwan;$$$$;100;Singaporean, Contemporary;120.6285199;24.1504863;SI;NO;https://jlstudiotw.com;3 Stars;Air conditioning,Car park,Wheelchair access
Le Palais;17F, Palais de Chine Hotel, 3, Section 1, Chengde Road, Datong District, Taipei, 103, Taiwan;Taipei; Taiwan;$$$$;100;Cantonese;121.5168892;25.0491625;SI;SI;https://www.palaisdechinehotel.com/pdc-en/pages/26/0/66;3 Stars;Air conditioning,Car park,Wheelchair access
Addison;5200 Grand Del Mar Way, San Diego, 92130, USA;San Diego; USA;$$$$;100;Contemporary, Californian;-117.1988908;32.9412972;SI;NO;https://www.addisondelmar.com/;3 Stars;Air conditioning,Car park,Garden or park,Interesting wine list,Terrace,Valet parking,Wheelchair access
Atelier Crenn;3127 Fillmore St., San Francisco, 94123, USA;San Francisco; USA;$$$$;100;Contemporary, French;-122.43586;37.79835;SI;SI;https://www.ateliercrenn.com/;3 Stars;Air conditioning,Interesting wine list,Wheelchair access
The French Laundry;6640 Washington St., Yountville, 94599, USA;Yountville; USA;$$$$;100;Contemporary, French;-122.36474;38.40443;SI;SI;https://www.thomaskeller.com/tfl;3 Stars;Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access
Quince;470 Pacific Ave., San Francisco, 94133, USA;San Francisco; USA;$$$$;100;Contemporary, Californian;-122.4032607;37.7975054;SI;NO;http://www.quincerestaurant.com;3 Stars;Air conditioning,Interesting wine list,Valet parking,Wheelchair access
SingleThread;131 North St., Healdsburg, 95448, USA;Healdsburg; USA;$$$$;100;Contemporary, Californian;-122.8697229;38.6122599;NO;SI;https://www.singlethreadfarms.com/;3 Stars;Air conditioning,Interesting wine list,Wheelchair access
Benu;22 Hawthorne St., San Francisco, 94105, USA;San Francisco; USA;$$$$;100;Asian, Contemporary;-122.3990601;37.7853763;SI;NO;https://www.benusf.com/;3 Stars;Air conditioning,Valet parking,Wheelchair access
Zén;41 Bukit Pasoh Road, 089855, Singapore;Singapore;;$$$$;100;European Contemporary;103.84042;1.2796271;SI;SI;http://www.restaurantzen.com;3 Stars;Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Valet parking
