Nome;Indirizzo;Città;Nazione;Prezzo;Fascia Di Prezzo;Tipo di Cucina;Longitude;Latitude;PrenotazioneOnline;Delivery;WebsiteUrl;Award;Servizi
Bakea;Olalde Berezia Kalea 1, Mungia, 48100, Spain;Mungia; Spain;€€€;70;Regional Cuisine;-2.8505789;43.3574809;SI;SI;http://www.bakeamungia.com;Selected Restaurants;Air conditioning
Sa Taula;Segundo Ispizua 27, Donostia / San Sebastián, 20001, Spain;Donostia / San Sebastián; Spain;€€€;70;Contemporary;-1.97015;43.3241578;SI;SI;;Selected Restaurants;Air conditioning,Counter dining
Sushi Bar Hannah;Marqués de Villamagna 2, Madrid, 28001, Spain;Madrid; Spain;€€€€;100;Japanese;-3.6879903;40.4297802;SI;SI;https://www.sushibarhannah.com/;Selected Restaurants;Air conditioning
Indómito;Rúa Do Doutor Teixeiro 28, Santiago de Compostela, 15701, Spain;Santiago de Compostela; Spain;€€;20;Contemporary, Modern Cuisine;-8.5456081;42.8741569;SI;SI;https://www.indomitobistro.es;Selected Restaurants;Air conditioning,Counter dining
Nantes;Maestro Arbós 15, Madrid, 28045, Spain;Madrid; Spain;€€;20;Traditional Cuisine, Seasonal Cuisine;-3.695072;40.3890093;NO;NO;http://www.restaurantenantes.es;Selected Restaurants;Air conditioning,Terrace,Wheelchair access
Coto de Quevedo Origen;Paraje Tejeras Viejas, Torre de Juan Abad, 13344, Spain;Torre de Juan Abad; Spain;€€;20;Traditional Cuisine;-3.049219;38.5798141;NO;SI;https://hotelcotodequevedo.com/;Selected Restaurants;Air conditioning,Car park,Wheelchair access
Rêver;Armas 7, Las Palmas de Gran Canaria, 35001, Spain;Las Palmas de Gran Canaria; Spain;€€;20;Mediterranean Cuisine, International;-15.41411;28.10189;SI;NO;http://www.restauranterever.com;Selected Restaurants;Air conditioning,Wheelchair access
El Duque;Avenida del Mar 10, Medina-Sidonia, 11170, Spain;Medina-Sidonia; Spain;€;10;Traditional Cuisine;-5.9306744;36.4626722;NO;NO;https://www.elduquedemedina.es/;Selected Restaurants;Air conditioning,Car park,Terrace
Kotuwa;New Bahru, #01-03, 46 Kim Yam Road, 239351, Singapore;Singapore;;$$;20;Sri Lankan;103.8388373;1.2929748;NO;NO;https://kotuwa.com.sg/;Selected Restaurants;Air conditioning,Car park,Wheelchair access
Solo;45 Amoy Street, 069871, Singapore;Singapore;;$$;20;Italian;103.8469554;1.2806216;NO;NO;https://soloristorante.com/;Selected Restaurants;Air conditioning,Counter dining,Wheelchair access
Ki Su;#01-01, 60 Tras Street, 078999, Singapore;Singapore;;$$;20;Vegetarian;103.8441991;1.2778193;NO;SI;https://www.kisu.com.sg/;Selected Restaurants;
Kitchenman Nasi Lemak;CT Hub, #01-08/13, 2 Kallang Avenue, 339407, Singapore;Singapore;;$;10;Malaysian;103.8628154;1.3120852;NO;SI;https://kitchenmannasilemak.oddle.me/en_SG/stores;Selected Restaurants;Air conditioning,Car park,Cash only
Wok Hei Hor Fun;Redhill Market, #01-94, 85 Redhill Lane, 150085, Singapore;Singapore;;$;10;Street Food;103.8183527;1.2874024;NO;NO;;Selected Restaurants;Cash only
Song Kee Teochew Fish Porridge;Newton Food Centre, #01-37, 500 Clemenceau Avenue North, 229495, Singapore;Singapore;;$;10;Street Food;103.839442;1.311974;NO;NO;;Selected Restaurants;Cash only
Sir Elly's;13F, The Peninsula Hotel, Bund 32, 32 Zhongshan Dong Yi Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;European Contemporary;121.450915;31.235736;NO;SI;https://www.peninsula.com/en/shanghai/5-star-luxury-hotel-bund;Selected Restaurants;Air conditioning,Brunch,Great view,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Yè Shanghai;3F, Infinitus Mall, 168 Hubin Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥;20;Shanghainese;121.4733099;31.2225898;SI;SI;https://www.elite-concepts.com/restaurants/ye-shanghai/shanghai/en/;Selected Restaurants;Air conditioning,Restaurant offering vegetarian menus
Pop;7F, Bund 3, 3 Zhongshan Dong Yi Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;European;121.490738;31.234083;NO;NO;https://www.threeonthebund.com/;Selected Restaurants;Air conditioning,Great view,Terrace,Valet parking,Wheelchair access
Lin Jiang Yan;216 Fucheng Road, Pudong, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Jiangzhe;121.497186;31.234001;NO;NO;https://www.linjiangyansh.com;Selected Restaurants;Air conditioning,Car park,Great view,Valet parking
Xin Yuan Lou;Building No.4, InterContinental Ruijin Hotel, 118 Ruijin Er Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥;20;Cantonese;121.4651584;31.1983334;NO;SI;https://www.ihg.com/intercontinental/hotels/gb/en/shanghai/shgsr/hoteldetail/dining;Selected Restaurants;Air conditioning,Car park,Terrace
Wei Xiang Zhai (Yandang Road);14 Yandang Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥;10;Noodles;121.478169;31.225537;NO;NO;;Selected Restaurants;Air conditioning,Credit cards not accepted
Hakkasan;5F, Bund 18, 18 Zhongshan Dong Yi Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Chinese Contemporary, Cantonese;121.4852212;31.240098;SI;NO;https://hakkasan.com/shanghai/;Selected Restaurants;Air conditioning,Car park,Great view,Interesting wine list,Wheelchair access
Legend Taste (Jingan);1025 Kangding Road, Jingan, Shanghai, China Mainland;Shanghai; China Mainland;¥¥;20;Yunnanese;121.432945;31.23235;SI;NO;;Selected Restaurants;Air conditioning,Car park,Terrace
Cuivre;1502 Middle Huaihai Road, Xuhui, Shanghai, China Mainland;Shanghai; China Mainland;¥¥;20;French Contemporary;121.482589;31.231693;NO;NO;;Selected Restaurants;Air conditioning,Brunch,Car park,Counter dining,Interesting wine list,Terrace,Wheelchair access
Coquille;29 Mengzi Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;French;121.492782;31.231408;NO;SI;https://www.coquille.com.cn/;Selected Restaurants;Air conditioning,Car park,Counter dining,Wheelchair access
Nan Xing Yuan;Building 12, 1728 Middle Huaihai Road, Xuhui, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;Sichuan;121.436698;31.208399;SI;NO;;Selected Restaurants;Air conditioning,Car park
Scilla;504 Panyu Road, Changning, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;Mediterranean Cuisine;121.4252611;31.2035665;NO;SI;;Selected Restaurants;Air conditioning,Garden or park,Interesting wine list,Notable sake list
Yong Jiang Zhen;Sinan Mansions, 55 Sinan Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;Jiangzhe;121.4642;31.2166;NO;NO;;Selected Restaurants;Car park
Jean Georges;4F, Bund 3, 3 Zhongshan Dong Yi Road, Huangpu, Shanghai, 200002, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;French;121.490738;31.218637;NO;NO;https://www.threeonthebund.com/en/restaurant/102008183386;Selected Restaurants;Air conditioning,Brunch,Great view,Interesting wine list,Valet parking,Wheelchair access
Xuji Seafood (Xuhui);500 Zhaojiabang Road, Xuhui, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Seafood;121.4498512;31.203142;NO;NO;http://www.xjseafood.com;Selected Restaurants;Car park,Garden or park,Wheelchair access
Scarpetta;33 Mengzi Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Italian;121.47243;31.210344;SI;NO;;Selected Restaurants;Air conditioning
Dining Room;87F, Park Hyatt, 100 Century Avenue, Pudong, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Jiangzhe;121.503147;31.236692;NO;SI;https://www.hyatt.com/en-US/hotel/china/park-hyatt-shanghai/shaph;Selected Restaurants;Air conditioning,Car park,Wheelchair access
La Scene Ronde;LG1-13, The Roof, Lane 458, Madang Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;Innovative;121.470474;31.2140673;NO;NO;;Selected Restaurants;Air conditioning,Car park
Frasca;1F, The Middle House Residences, 366 Shimen Yi Road, Jingan, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Italian;121.46248;31.23024;NO;SI;https://www.thehousecollective.com/en/the-middle-house/restaurants-and-bars/frasca/;Selected Restaurants;Air conditioning,Brunch,Car park,Interesting wine list,Terrace,Wheelchair access
Arva;6161 Yuanjiang Road, Minhang, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Italian;121.342911;31.035751;SI;NO;https://www.arvabyaman.com/locations/amanyangyun;Selected Restaurants;Air conditioning,Car park,Great view,Interesting wine list,Terrace,Valet parking,Wheelchair access
Cellar to Table;1A, 1F, 20 Donghu Road, Xuhui, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Italian;121.4502715;31.217986;NO;SI;;Selected Restaurants;Air conditioning,Interesting wine list,Terrace
1515 West Chophouse;4F, Jing An Shangri-La Hotel, 1218 Middle Yan'an Road, Jingan, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Steakhouse;121.466485;31.21749;NO;NO;https://www.shangri-la.com/shanghai/jinganshangrila/dining/restaurants/the-1515-west-chophouse-and-bar/;Selected Restaurants;Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access
Villa Le Bec - Bistro 321;321 Xinhua Road, Changning, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;French;121.450394;31.222996;SI;SI;https://lebec.com.cn/;Selected Restaurants;Air conditioning,Interesting wine list,Terrace
Shanghai Club;L-418, 4F, North Building, HKRI Taikoo Hui, 789 West Nanjing Road, Jingan, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Jiangzhe, Cantonese;121.458648;31.230546;SI;NO;http://www.jade388.com;Selected Restaurants;Air conditioning,Car park,Terrace
Charbon;Shop 606, 6F, iapm, 999 Middle Huaihai Road, Xuhui, Shanghai, China Mainland;Shanghai; China Mainland;¥¥;20;Barbecue;121.454124;31.218122;NO;NO;https://www.charbonbypp.com/;Selected Restaurants;Car park,Terrace,Wheelchair access
De Xing Guan (Guangdong Road);471 Guangdong Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥;10;Shanghainese;121.388847;31.108875;SI;SI;;Selected Restaurants;Air conditioning
Hai Wei Guan (Jingan);18 Kangding Road, Jingan, Shanghai, China Mainland;Shanghai; China Mainland;¥¥;20;Shanghainese;121.450397;31.238925;SI;SI;;Selected Restaurants;Air conditioning
Épices & Foie Gras;A1-05, 309 Hankou Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;French Contemporary;121.428527;31.218524;SI;SI;;Selected Restaurants;Air conditioning,Brunch,Restaurant offering vegetarian menus,Terrace
Kanpai Classic (Huangpu);5F, Bund 5, 20 Guangdong Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Barbecue;121.48633;31.236464;NO;NO;;Selected Restaurants;Air conditioning,Car park,Counter dining,Terrace,Valet parking,Wheelchair access
Lin Family of One - The Bund;4F, The Central, 123 East Nanjing Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Taizhou;121.48311;31.24016;NO;NO;;Selected Restaurants;Air conditioning,Car park,Valet parking,Wheelchair access
Shanghai;2F, Central Hotel, 555 Jiujiang Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Shanghainese;121.451599;31.227133;NO;SI;https://www.wbh-sh.com/;Selected Restaurants;Air conditioning,Car park,Wheelchair access
Beef & Liberty (Jingan);Shop 111, Shanghai Centre, 1376 West Nanjing Road, Jingan, Shanghai, China Mainland;Shanghai; China Mainland;¥¥;20;American;121.48599;31.236977;NO;SI;https://www.beef-liberty.com/cn/en/;Selected Restaurants;Air conditioning,Car park,Counter dining,Terrace,Wheelchair access
Lao Xing Xian (Huangpu);5F, Parkson, 918 Middle Huaihai Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥;20;Shanghainese;121.4547565;31.2194988;NO;NO;;Selected Restaurants;Car park
Mercado 505;505 North Wulumuqi Road, Jingan, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Spanish;121.4394822;31.2192745;NO;NO;;Selected Restaurants;Car park
Summer Palace;3F, Jing An Shangri-La Hotel, 1218 Middle Yan'an Road, Jingan, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Cantonese;121.462455;31.227067;NO;SI;https://www.shangri-la.com/shanghai/jinganshangrila/dining/restaurants/summer-palace/;Selected Restaurants;Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Jade on 36;36F, Grand Tower, Pudong Shangri-La Hotel, 33 Fucheng Road, Pudong, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;French Contemporary;121.499061;31.235721;NO;SI;https://www.shangri-la.com/shanghai/pudongshangrila/;Selected Restaurants;Air conditioning,Brunch,Car park,Great view,Interesting wine list,Valet parking,Wheelchair access
Hong 0871;5F, Shanghai Chengtou Holding, 130 Wusong Road, Hongkou, Shanghai, China Mainland;Shanghai; China Mainland;¥¥;20;Yunnanese;121.4858387;31.2485206;SI;NO;;Selected Restaurants;Air conditioning,Car park
Ding Te Le Zhou Mian Guan;No 22, Lane 494, Middle Huaihai Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥;10;Noodles and Congee;121.4650451;31.2233192;SI;SI;;Selected Restaurants;Air conditioning,Cash only
Royal China Club;3F, Bund 5, 20 Guangdong Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Cantonese;121.500145;31.226119;SI;SI;https://www.royalchinagroup.com/;Selected Restaurants;Air conditioning,Valet parking
Mr & Mrs Bund;6F, Bund 18, 18 Zhongshan Dong Yi Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;French Contemporary;121.48893;31.235692;SI;NO;http://www.mmbund.com/;Selected Restaurants;Air conditioning,Brunch,Counter dining,Great view,Interesting wine list,Valet parking,Wheelchair access
Shanghai Tavern;1F, Shanghai Edition, 199 East Nanjing Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;European Contemporary;121.485884;31.238161;SI;NO;https://www.editionhotels.com/shanghai/restaurants-and-bars/shanghai-tavern/;Selected Restaurants;Air conditioning,Car park,Counter dining,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Numata Sou;1F, N1 Building, The Bund Finance Centre, 558 Zhongshan Dong Er Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;Tempura;121.49424;31.2279908;SI;SI;;Selected Restaurants;Air conditioning,Car park,Counter dining
Stonesal;1M, 9 Donghu Road, Xuhui, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;Steakhouse;121.448988;31.218207;NO;NO;;Selected Restaurants;Air conditioning,Car park,Counter dining,Terrace
The Meat;2F, Kerry Hotel Pudong, 1388 Huamu Road, Pudong, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Steakhouse;121.49139;31.233915;SI;SI;https://www.shangri-la.com/shanghai/kerryhotelpudong/dining/restaurants/the-meat/;Selected Restaurants;Air conditioning,Brunch,Car park,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
Sui Tang Li;2F, The Middle House Residences, 366 Shimen Yi Road, Jingan, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Chinese Contemporary;121.4833;31.2333;NO;SI;https://www.thehousecollective.com/en/the-middle-house/restaurants-and-bars/sui-tang-li/;Selected Restaurants;Air conditioning,Car park,Wheelchair access
Hokkien Huay Kuan;5F, Xintiandi Style I, 177 Madang Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Fujian;121.4701098;31.2213869;SI;SI;https://yueyegroup.com;Selected Restaurants;
Bai Rong;1F, N2 Building, The Bund Finance Centre, 558 Zhongshan Dong Er Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Shandong;121.4928612;31.2288003;NO;SI;;Selected Restaurants;Air conditioning,Car park
Wan Yan (Changning);Inside Jin Jiang Cypress Hotel, Block 8, 2419 Hungqiao Road, Changning, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Hui Cuisine;121.356258;31.190376;NO;SI;;Selected Restaurants;Air conditioning,Car park
Hong Yu Fang;B1-06, Mix 6, 686 South Xizang Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥;10;Dim Sum;121.4789741;31.2190344;NO;SI;;Selected Restaurants;Cash only
Min He Nan Huan Xi;2F, MIXC East Alley, 111 North Shanxi Road, Jingan, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Fujian;121.4745732;31.2444595;SI;NO;https://www.lvdaohotel.com;Selected Restaurants;Car park
Les Nuages;57F, East Tower, Raffles City The Bund, 999 Dongdaming Road, Hongkou, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;Innovative;121.5039397;31.2548014;NO;NO;;Selected Restaurants;Air conditioning,Car park,Great view,Wheelchair access
Mercato;6F, Bund 3, 3 Zhongshan Dong Yi Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Italian;121.458294;31.215907;SI;SI;https://www.threeonthebund.com/en/restaurant/102008183384;Selected Restaurants;Air conditioning,Counter dining,Great view,Interesting wine list,Valet parking,Wheelchair access
Hang Yuen Hin;Xujiahui Park, 290 Wanping Road, Xuhui, Shanghai, China Mainland;Shanghai; China Mainland;¥¥;20;Cantonese;121.439814;31.199204;NO;NO;https://hyhgroup.cn/;Selected Restaurants;Air conditioning,Car park,Garden or park,Terrace,Valet parking,Wheelchair access
Shi Chuan Fei Chuan (Xuhui);Shop 603, 6F, iapm, 999 Middle Huaihai Road, Xuhui, Shanghai, China Mainland;Shanghai; China Mainland;¥¥;20;Sichuan;121.454124;31.218122;SI;SI;;Selected Restaurants;Interesting wine list
Dong Ping Chao;1 Dongping Road, Xuhui, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;Chao Zhou;121.4463024;31.2103732;SI;SI;;Selected Restaurants;Air conditioning,Car park,Valet parking
Yong Xing;No. 1, Lane 626, Middle Fuxing Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥;10;Shanghainese;121.435415;31.204543;SI;SI;;Selected Restaurants;Air conditioning,Foreign credit cards not accepted
Tea Culture (East Beijing Road);L201A, 2F, Yi Feng Galleria, 99 East Beijing Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Huaiyang;121.4839574;31.242453;SI;SI;;Selected Restaurants;Air conditioning,Car park
Canton Disco;2F, The Shanghai Edition, 199 East Nanjing Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Cantonese;121.481313;31.239551;SI;SI;https://www.editionhotels.com/shanghai/restaurants-and-bars/canton-disco/;Selected Restaurants;Air conditioning,Car park,Interesting wine list,Valet parking
Nuits;68 Tongren Road, Jingan, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;French Contemporary;121.4468001;31.2252095;NO;NO;;Selected Restaurants;Air conditioning,Interesting wine list
Chaimen Hui;Shop S-L4-04, Stone Zone, Taikoo Li Qiantan, Lane 500, Dongyu Road, Pudong, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Sichuan;121.4766074;31.1543302;NO;SI;http://www.chaimencanyin.com;Selected Restaurants;Air conditioning
Shaughnessy;No.2201-2202, 22F, East Huaihai International Mansion, 45-49 East Huaihai Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥;70;Steakhouse;121.4778647;31.2281795;NO;SI;;Selected Restaurants;
The Pine;333 Changle Road, Xuhui, Shanghai, China Mainland;Shanghai; China Mainland;¥¥¥¥;100;European Contemporary;121.4517946;31.2216703;NO;NO;;Selected Restaurants;Garden or park,Interesting wine list
Yong Feng Mian Guan;320 Hankou Road, Huangpu, Shanghai, China Mainland;Shanghai; China Mainland;¥;10;Noodles;121.4817;31.23806;NO;NO;;Selected Restaurants;Cash only
Frangipaani;The Republik, Lot No.M.03, Mezzanine Floor, Jalan Medan Setia 1, Bukit Damansara, Kuala Lumpur, 50490, Malaysia;Kuala Lumpur; Malaysia;$$;20;Indian;101.651991;3.148946;NO;NO;http://www.theolivetreegroup.com/frangipaani;Selected Restaurants;Air conditioning,Car park,Terrace,Valet parking
Jwala;E-02-01, Block E, The Five@KPD, 49 Jalan Dungun, Bukit Damansara, Kuala Lumpur, 50490, Malaysia;Kuala Lumpur; Malaysia;$$$;70;Indian;101.6644017;3.1508826;SI;SI;https://jwalakl.com;Selected Restaurants;Air conditioning,Car park
Bite N Eat Dindigul Biriyani;43 Lebuh Penang, George Town, 10200, Malaysia;George Town; Malaysia;$$;20;Indian;100.3405934;5.4176885;NO;NO;;Selected Restaurants;Air conditioning
Blanc;Macalister Mansion, 228 Jalan Macalister, George Town, 10400, Malaysia;George Town; Malaysia;$$$;70;European Contemporary;100.318843;5.419219;SI;SI;https://www.restaurantblanc.com.my;Selected Restaurants;Air conditioning,Interesting wine list
Kayra;F-8, 1F, Bangsar Village 1, Jalan Telawi 1, Bangsar, Kuala Lumpur, 59100, Malaysia;Kuala Lumpur; Malaysia;$$;20;Indian;101.6709123;3.1297977;SI;NO;http://www.kayra.com.my;Selected Restaurants;Air conditioning,Car park
Kebaya Dining Room;14A Lorang Stewart, George Town, 10200, Malaysia;George Town; Malaysia;$$;20;Peranakan;100.3380258;5.4191324;NO;SI;https://kebaya.com.my;Selected Restaurants;
Nyonya Willow;72-1-3 Arena Curve, Jalan Mahsuri, Bandar Sunway Tunas, Bayan Lepas, George Town, 11900, Malaysia;George Town; Malaysia;$$;20;Peranakan;100.2801459;5.3262422;SI;NO;;Selected Restaurants;Air conditioning
Potager;P11, Bamboo Hills, off DUKE, Taman Bamboo, Segambut, Kuala Lumpur, 51200, Malaysia;Kuala Lumpur; Malaysia;$$$$;100;French Contemporary;101.6748433;3.1938146;SI;NO;https://potagerkl.com;Selected Restaurants;Air conditioning,Car park,Interesting wine list
Flour;12 & 14 Jalan Kamuning, off Jalan Imbi, Kuala Lumpur, 55100, Malaysia;Kuala Lumpur; Malaysia;$$$$;100;Indian, Contemporary;101.7169078;3.1457116;SI;NO;https://flourrestaurant.com.my/;Selected Restaurants;Car park,Valet parking
Jaloux;24 Lebuh King, George Town, 10300, Malaysia;George Town; Malaysia;$$;20;Italian;100.3402941;5.4187377;SI;NO;;Selected Restaurants;Air conditioning
Richard Rivalee;62 & 64 Lorong Macalister, George Town, 10400, Malaysia;George Town; Malaysia;$$;20;Peranakan;100.328399;5.416138;NO;SI;;Selected Restaurants;Air conditioning
Ling Long;L2-04, Block E, The Five@KPD, 49 Jalan Dungun, Bukit Damansara, Kuala Lumpur, 50490, Malaysia;Kuala Lumpur; Malaysia;$$$$;100;Innovative;101.6650873;3.1533667;NO;SI;http://www.linglong.com.my;Selected Restaurants;Air conditioning,Car park
Bee See Heong;4166 Jalan Kampung Benggali, Butterworth, Seberang Perai, 12200, Malaysia;Seberang Perai; Malaysia;$;10;Malaysian;100.3714999;5.408959;NO;NO;;Selected Restaurants;Car park,Cash only
Malai;M1 Floor, Menara Ample West, 6 Jalan Puncak, Kuala Lumpur, 50250, Malaysia;Kuala Lumpur; Malaysia;$$;20;Thai;101.7062926;3.1520314;SI;NO;https://www.malaithai.restaurant;Selected Restaurants;Air conditioning,Restaurant offering vegetarian menus
Firewood;15 Jalan Masjid Kapitan Keling, George Town, 10200, Malaysia;George Town; Malaysia;$$$;70;Barbecue;100.3393059;5.418981;SI;NO;;Selected Restaurants;Air conditioning,Counter dining,Interesting wine list
Ceki;11-A Jalan Sri Bahari, George Town, 10050, Malaysia;George Town; Malaysia;$$;20;Peranakan;100.3322279;5.4211065;NO;NO;;Selected Restaurants;
Tenmasa;Unit 3.3 (annexe), 2F, Tower 1, Platinum Park, 11 Persiaran KLCC, Kuala Lumpur, 50088, Malaysia;Kuala Lumpur; Malaysia;$$$;70;Tempura;101.7188475;3.1555176;NO;SI;https://tenmasa-restaurant.com;Selected Restaurants;Air conditioning,Car park,Counter dining
Ali Nasi Lemak Daun Pisang;Sri Weld Food Court, 19 Lebuh Pantai, George Town, 10300, Malaysia;George Town; Malaysia;$;10;Street Food;100.3428291;5.4178122;NO;SI;;Selected Restaurants;Cash only
Fook Cheow Cafe;122I Jalan Hutton, George Town, 10050, Malaysia;George Town; Malaysia;$;10;Noodles;100.3284924;5.4214497;SI;SI;;Selected Restaurants;Cash only
Flower Mulan;266 & 268 Jalan Burma, George Town, 10350, Malaysia;George Town; Malaysia;$$;20;Peranakan;100.3122743;5.4312684;SI;SI;;Selected Restaurants;Air conditioning
Skillet;Lot 1-01, 1F, Menara Hap Seng 3, Jalan P. Ramlee, Kuala Lumpur, Kuala Lumpur, 50250, Malaysia;Kuala Lumpur; Malaysia;$$$;70;European Contemporary;101.70751;3.15302;SI;NO;https://www.skilletkl.com;Selected Restaurants;Air conditioning,Car park,Valet parking
The Brasserie;2F, The St. Regis, 6 Jalan Stesen Sentral 2, Kuala Lumpur Sentral, Kuala Lumpur, 50470, Malaysia;Kuala Lumpur; Malaysia;$$$;70;French Contemporary;101.6888572;3.1370138;SI;NO;;Selected Restaurants;Brunch,Car park,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access
The Pinn;58 Pengkalan Weld, George Town, 10300, Malaysia;George Town; Malaysia;$;10;Small eats;100.3376993;5.4121664;NO;NO;;Selected Restaurants;Air conditioning
Soleil;Lot-13A & 15, 2F, Damansara City Mall, 6 Jalan Damanlela, Bukit Damansara, Kuala Lumpur, 50490, Malaysia;Kuala Lumpur; Malaysia;$$$;70;European Contemporary;101.6615705;3.1464153;SI;SI;http://www.soleil.my;Selected Restaurants;Air conditioning,Car park
Passage Thru India;4 Jalan Delima, off Jalan Bukit Bintang, Imbi, Kuala Lumpur, 50400, Malaysia;Kuala Lumpur; Malaysia;$$;20;Indian;101.7211091;3.1467502;SI;NO;https://www.passagethruindia.com/;Selected Restaurants;Air conditioning,Car park
Yun House;5B, Four Seasons Hotel, 145 Jalan Ampang, Kuala Lumpur, Kuala Lumpur, 50450, Malaysia;Kuala Lumpur; Malaysia;$$$;70;Cantonese;101.71492;3.15944;NO;SI;https://www.fourseasons.com/kualalumpur/dining/restaurants/yun-house;Selected Restaurants;Air conditioning,Car park,Valet parking,Wheelchair access
Sushi Taka;3A, The St. Regis, 6 Jalan Stesen Sentral 2, Kuala Lumpur Sentral, Kuala Lumpur, 50470, Malaysia;Kuala Lumpur; Malaysia;$$$$;100;Sushi;101.6886877;3.1368915;NO;SI;https://taka-ushi.com/;Selected Restaurants;Air conditioning,Car park,Counter dining,Notable sake list
Jit Seng Hong Kong Roasted Duck Rice;246 Lebuh Carnarvon, George Town, 10450, Malaysia;George Town; Malaysia;$;10;Street Food;100.3336249;5.4146356;SI;SI;;Selected Restaurants;Cash only
Air Itam Duck Rice;Air Itam Wet Market, Jalan Pasar, George Town, 11500, Malaysia;George Town; Malaysia;$;10;Street Food;100.2781148;5.4014798;SI;NO;;Selected Restaurants;Cash only
Sambal;300 Lebuh Pantai, George Town, 10300, Malaysia;George Town; Malaysia;$$;20;Asian Contemporary;100.3377767;5.4140594;NO;SI;;Selected Restaurants;Air conditioning
